Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5154
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5885
2014,14.9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3727
2014,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4072
2014,14,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4025
2014,14.9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4664
2014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592
2014,14.2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4420
2014,14.2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4628
2014,17.04,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4662
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,0,0,0,0,0,0,15.07,0,0,0,0,0,0,0,6839
2014,12.94,0,0,0,0,0,0,15,0,0,0,0,0,0,0,6251
2014,5.76,0,0,0,0,0,0,15,0,0,0,0,0,0,27.9,7593
2014,6.14,0,0,0,0,0,0,15,0,0,0,0,0,0,27.6,6732
2014,9.56,0,0,0,0,0,0,15,0,0,0,0,0,0,22.52,7916
2014,6.69,0,0,0,0,0,0,8,0,0,0,0,0,0,26.34,5746
2014,6.56,0,0,0,0,0,0,11,0,0,0,0,0,0,26.7,5526
2014,6820,0,0,0,0,0,0,19,0,0,0,0,0,0,28.3,6762
2014,11.5,0,0,0,0,0,0,15,0,0,0,0,0,0,26.16,5820
2014,6.82,0,0,0,0,0,0,15,0,0,0,0,0,0,26.44,7027
2014,0,0,0,0,0,0,0,15,0,0,0,0,0,0,28.92,6674
2014,6.66,0,0,0,0,0,0,15,0,0,0,0,0,0,26.9,7687
2014,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7145
2014,9.54,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7024
2014,2.98,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3310
