Year,Pig Manure (t),Kitchen food waste (t),Municipal fecal residue (t),Chicken litter (t),Bagasse feed (t),Percolate (t),Raw Biogas Produced (m3)
2017,0,13.06,29.34,0,0,210,13186
2017,31.66,8.76,55.1,0,14,158,14760
2017,31.94,10.98,55.3,0,0,90,10615
2017,26.22,8.62,26.02,0,0,90,7939
2017,24.22,16.38,57.12,0,10,170,6790
2017,27.04,8.84,57.08,0,17,178,15839
2017,18.9,17.78,56.2,0,7,198,17399
2017,19.68,13.54,59.72,0,13,195,15608
2017,0,12.3,58.8,0,0,177,13891
2017,25.76,14.18,54.74,0,18,183,15877
2017,33.22,4.72,57.48,0,20,211,23619
2017,24.18,19.28,59.92,0,10,215,19276
2017,39.06,10.78,0,0,15,208,18591
2017,20.82,19.42,0,0,25,141,19635
2017,27.08,9.66,0,0,18,178,19618
2017,19.06,6.22,0,0,47.6,197,20342
2017,32.76,17.84,0,0,81,205,19505
2017,26.64,18.08,0,0,74,208,14282
2017,45.8,10.3,0,0,49,218,13116
2017,40.82,16.8,60.06,0,26,206,14410
2017,27.7,9.2,58.8,0,54.4,198,14689
2017,26.14,7.62,59.66,0,18,151,5406
2017,0,16.72,60.36,0,0,169,0
2017,0,16.32,56.32,0,0,30,750
2017,97,11.8,60.16,0,15,188,12020
2017,27.48,8.62,30.54,0,12,0,11358
2017,0,0,0,0,0,48,8677
2017,0,10.44,0,0,0,90,6620
2017,0,10.78,0,0,0,100,7840
2017,0,6.64,0,0,0,30,6616
2017,27.74,9.76,0,0,5,60,8207
2017,26.5,9.06,0,0,20,130,11025
2017,25.72,9.92,29.88,0,20,76,10745
2017,26.72,21.2,28.34,0,18,66,9808
2017,27.66,14.1,57.8,0,29.6,130,10916
2017,19.68,11.74,58.98,0,5,153,11259
2017,40.24,7.04,60.3,0,20,151,13843
2017,19.2,15.68,57.42,0,25,169,11813
2017,26.16,16.36,61.32,0,35.4,182,11200
2017,29.7,13.76,60.16,0,27.6,189,14732
2017,32.34,11.38,61.28,0,28.2,144,16839
2017,19.44,9.78,30.6,0,29.4,196,15014
2017,20.58,11.3,30.7,0,20.4,161,11491
2017,26.96,12.58,61.64,0,22,202,13625
2017,27.24,12.88,62.3,0,20,216,14275
2017,0.9,16.68,62.3,0,15.6,221,14546
