<<<<<<< HEAD:RawBiogasReg_Pig_Bag.csv
Pig Manure (t),Bagasse feed (t),Raw Biogas Produced (m3),,,Pig 
0,0,5154,,,
0,0,3426,,,
0,0,5885,,,
14.9,13,3727,,,
0,16,4072,,,
14,16,4025,,,
14.9,8,4664,,,
14,0,4592,,,
14.2,7,4420,,,
14.2,15,4628,,,
17.04,15,4662,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
3,15.07,6839,,,
12.94,15,6251,,,
5.76,15,7593,,,
6.14,15,6732,,,
9.56,15,7916,,,
6.69,8,5746,,,
6.56,11,5526,,,
6820,19,6762,,,
11.5,15,5820,,,
6.82,15,7027,,,
0,15,6674,,,
6.66,15,7687,,,
12.5,0,7145,,,
9.54,9,7024,,,
2.98,13,3310,,,
6.04,6,2816,,,
15.36,9,3227,,,
6.3,15,3491,,,
7,15,2828,,,
3.85,4.5,3184,,,
7.52,5,3142,,,
0,17.5,2979,,,
6.22,20,0,,,
6.72,17.5,3917,,,
7.02,20,1658,,,
5.68,20,2590,,,
6.16,20,0,,,
6.4,20,2902,,,
7.18,20,3584,,,
8.58,30,3580,,,
6.16,28,3141,,,
5.52,32,0,,,
5.26,30,0,,,
9.52,30,3730,,,
6.62,21,5200,,,
6.28,15,4762,,,
0,19.25,0,,,
0,30,4745,,,
0,30,0,,,
0,20,3214,,,
0,20,4300,,,
0,20,3990,,,
6.2,20,4568,,,
6.32,10,2533,,,
0,0,1245,,,
0,0,2413,,,
0,0,2084,,,
0,0,1930,,,
0,0,1740,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,910,,,
0,0,0,,,
0,0,2160,,,
0,0,590,,,
14.6,20.8,0,,,
17.8,26.104,1344,,,
10.92,0,3948,,,
0,10.92,2225,,,
3.6,25.1,5963,,,
9.28,20,4934,,,
9.68,20,3415,,,
9.68,20,3893,,,
10.9,20,3359,,,
10.4,30,2538,,,
3.68,37,5125,,,
9.44,37.8,5077,,,
6.66,40,5265,,,
0,0,0,,,
11.84,40,6650,,,
3.18,40,3597,,,
6.54,40,8240,,,
6.74,35,6577,,,
6.46,40,6412,,,
3.5,40,6793,,,
3.68,20,3423,,,
6.44,40,5527,,,
12.74,32,7444,,,
14.52,40,9175,,,
6.22,40,10550,,,
9.24,40,9824,,,
10.42,40,0,,,
11.98,40,13507,,,
11.76,40,8835,,,
14.85,36,8875,,,
6.1,20,12212,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,18,4661,,,
0,40,4659,,,
0,40,6131,,,
6.4,20,4967,,,
0,27,4726,,,
0,23,3558,,,
0,50,6348,,,
9.68,26,5081,,,
9.7,50,6783,,,
0,6.36,5940,,,
0,0,0,,,
14.32,40,8189,,,
3.26,40,4910,,,
3.24,27,5026,,,
2.96,5.4,3118,,,
6.47,19.08,5123,,,
3.16,29,4451,,,
3.02,37,5317,,,
3.26,35,6696,,,
10.16,40,6009,,,
10.44,40,5104,,,
8.28,35,4518,,,
8.61,40,5823,,,
0,40,5242,,,
10.24,40,6126,,,
5.74,21,5530,,,
3.64,16,5075,,,
3.2,14,5550,,,
5.94,35,5932,,,
2.82,0,4107,,,
5.56,33,6990,,,
5.44,30,7385,,,
0,37,6213,,,
3.5,36,4796,,,
6.56,15,5659,,,
3.06,34,6452,,,
3.02,35,5483,,,
3,31,12928,,,
0,30,6062,,,
2.98,29,4402,,,
3.66,26,0,,,
0,10,5169,,,
10.1,10,4758,,,
9.88,22,4729,,,
3.18,20,4153,,,
3.06,22.7,4528,,,
3.5,32,7638,,,
3.46,0,5520,,,
0,0,6600,,,
0,0,6183,,,
8.68,2,7113,,,
2.52,8,5909,,,
3.72,10,7132,,,
3.78,14,8533,,,
3.42,5.6,4500,,,
3.12,12.3,4629,,,
6.18,4,3448,,,
0,0,0,,,
