Year,Month,Day,Month #,Day #,Raw Biogas Produced (m3),BioCNG Produced （Nm3),BioCNG Sold (m3),Liquid Fertilizer Produced (t),Liquid fertilizer sold (t),Solid fertilizer produced (t),Solid fertilizer sold (t),Manure input (t),Bagasse 1 input (t),Lees (fermentation),Fish waste input (t),Alcowaste input (t),Cassava input (t),Grass input (t),Tea waste input (t),Other input (t),Total input (t),day #2,50% NaOH/kg,FeCl2/kg,PAM/kg,Defoamer/kg,Water/m3,Total electricity cons (kWh),Diesel cons/L
2014,May,1,1,1, -   ," 2,024.0 "," 3,658.0 ", -   , -   , -   , -   , 6.8 , 15.0 , -   , -   , -   , -   , -   , -   , 26.4 , 48.3 ,, -   , -   , -   , -   , -   ," 3,705.0 ", -   
2014,May,2,1,2, -   ," 2,909.0 "," 4,348.0 ", -   , -   , -   , -   , -   , 15.0 , -   , -   , -   , -   , -   , -   , 28.9 , 43.9 ,, -   , -   , -   , -   , -   ," 3,914.0 ", 130.0 
2014,May,3,1,3, -   ," 3,020.0 ", -   , -   , -   , -   , -   , 6.7 , 15.0 , -   , -   , -   , -   , -   , -   , 26.9 , 48.6 ,, -   , -   , -   , -   , -   ," 4,115.0 ", -   
2014,May,4,1,4, -   ," 3,042.0 ", -   , -   , -   , -   , -   , 12.5 , 15.0 , -   , -   , -   , -   , -   , -   , -   , 27.5 ,, -   , -   , -   , -   , -   ," 3,286.0 ", 20.0 
2014,May,5,1,5, -   ," 2,779.0 "," 7,584.0 ", -   , -   , -   , -   , 9.5 , 9.0 , -   , -   , -   , -   , -   , -   , -   , 18.5 ,, -   , -   , -   , -   , -   ," 3,612.0 ", -   
2014,May,6,1,6, -   ," 2,686.0 "," 2,698.0 ", -   , -   , -   , -   , 3.0 , 13.0 , -   , -   , -   , -   , -   , -   , -   , 16.0 ,, -   , -   , -   , -   , -   ," 3,344.0 ", -   
2014,May,7,1,7, -   ," 2,112.0 ", -   , -   , -   , -   , -   , 6.0 , 6.0 , -   , -   , -   , -   , -   , -   , -   , 12.0 ,, -   , -   , -   , -   , -   ," 3,732.0 ", 280.0 
2014,May,8,1,8, -   ," 1,529.0 ", -   , -   , -   , -   , -   , 15.4 , 9.0 , -   , -   , -   , -   , -   , -   , -   , 24.4 ,, -   , -   , -   , -   , -   ," 4,135.0 ", -   
2014,May,9,1,9, -   ," 2,085.0 ", -   , -   , -   , -   , -   , 6.3 , 15.0 , -   , -   , -   , -   , -   , -   , -   , 21.3 ,, -   , -   , -   , -   , -   ," 3,858.0 ", 40.0 
2014,May,10,1,10, -   ," 1,902.0 "," 3,925.0 ", -   , -   , -   , -   , 7.0 , 15.0 , -   , -   , -   , -   , -   , -   , -   , 22.0 ,, -   , -   , -   , -   , -   ," 3,332.0 ", 60.0 
